"","Brand","Vehicle","Engine","Engine.code","Torque..Nm.rpm.","Power..hp..","Power.kW..rpm.","Average.fuel.consumption..l.100.km.","CO2..g.km.","Weight.3p.5p..kg","Displacement","Compression.ratio","GearBox.type","Tyre","Traction.type"
"1","Renault","Twingo","1.2L 60 hp","D7F","93/2500",58,"43/5250",5.6,130,"1000","1149",38,"MT","165/65 R14","2wd"
"2","Renault","Twingo","1.2L 75 hp","D4F","108/4250",75,"55/5500",5.1,120,"1025","1149",40,"MT","165/65 R14","2wd"
"3","Renault","Twingo","1.5L dCi 65 hp","K9KBP","160/1900",65,"48/3750",4.3,113,"1055","1461",27,"MT","165/65 R14","2wd"
"4","Renault","Twingo","1.2L 75 hp AT","D4F","108/4250",75,"55/5500",5.6,132,"1030","1149",40,"AT 5","165/65 R14","2wd"
"5","Renault","Twingo","1.5L dCi 85 hp","K9KHP","200/1750",84,"62/3750",4,104,"1055","1461",27,"MT","165/65 R14","2wd"
"6","Renault","Twingo","1.2L TCe 100 hp","D4FT","145/3000",104,"76.5/5500",5.9,138,"1055","1149",37,"MT","185/65 R15","2wd"
"7","Renault","Twingo","1.6L 130 hp","K4MRS","160/4400",133,"98/6750",7,165,"1124","1598",9,"MT","195/45 R16","2wd"
"8","Renault","Clio","1.2L 75 hp","D4F","105/4250",75,"55/5500",5.9,139,"1155/1165","1149",40,"MT","165/65 R15","2wd"
"9","Renault","Clio","1.5L dCi 70 hp","K9KBP","160/1700",68,"50/4000",4.5,120,"1230/1240","1461",27,"MT","185/60 R15","2wd"
"10","Renault","Clio","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.8,137,"1165/1175","1149",37,"MT","185/60 R15","2wd"
"11","Renault","Clio","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.4,117,"1240/1250","1461",27,"MT","185/60 R15","2wd"
"12","Renault","Clio Exc","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.8,137,"1165/1175","1149",37,"MT","195/50 R16","2wd"
"13","Renault","Clio Exc","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.4,117,"1240/1250","1461",27,"MT","195/50 R16","2wd"
"14","Renault","Clio Exc","1.6L 110 hp AT","K4M","151/4250",112,"82/6000",7.5,179,"1255/1265","1598",40,"AT 4","195/50 R16","2wd"
"15","Renault","Clio  Exc","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",4.3,123,"1275/1285","1461",17,"MT 6","195/50 R16","2wd"
"16","Renault","Clio GT 3p.","1.6L 130 hp","K4MRS","155/4250",128,"94/6750",6.9,160,"1215","1598",1,"MT 6","195/50 R16","2wd"
"17","Renault","Clio RS 3p.","2.0L 200 hp","F4R","215/5400",201,"147.5/7100",8.3,195,"1279","1998",1,"MT 6","215/45 R17","2wd"
"18","Renault","Clio Grand Tour","1.2L 75 hp","D4F","105/4250",75,"55/5500",5.9,139,"1185","1149",40,"MT","165/65 R15","2wd"
"19","Renault","Clio Grand Tour","1.5L dCi 70 hp","K9KBP","160/1700",68,"50/4000",4.5,120,"1260","1461",27,"MT","185/60 R15","2wd"
"20","Renault","Clio Grand Tour","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.8,137,"1195","1149",37,"MT","185/60 R15","2wd"
"21","Renault","Clio Grand Tour","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.4,117,"1270","1461",27,"MT","185/60 R15","2wd"
"22","Renault","Clio Grand Tour Exc","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.8,137,"1195","1149",37,"MT","195/50 R16","2wd"
"23","Renault","Clio Grand Tour Exc","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.4,117,"1270","1461",27,"MT","195/50 R16","2wd"
"24","Renault","Clio Grand Tour Exc","1.6L 110 hp AT","K4M","151/4250",112,"82/6000",7.5,179,"1285","1598",40,"AT 4","195/50 R16","2wd"
"25","Renault","Clio Grand Tour Exc","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",4.3,123,"1310","1461",17,"MT 6","195/50 R16","2wd"
"26","Renault","Kangoo Bebop","1.6L 105 hp","K4M","148/3750",106,"78/5750",7.7,186,"1435","1598",2,"MT","205/60 R16","2wd"
"27","Renault","Kangoo Bebop","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",5.4,142,"1468","1461",15,"MT 6","205/60 R16","2wd"
"28","Renault","Modus","1.2L 75 hp","D4F","105/4250",75,"55/5500",5.9,140,"1225","1149",40,"MT","165/65 R15","2wd"
"29","Renault","Modus","1.5L dCi 65 hp","K9KBP","160/1700",65,"48/4000",4.7,119,"1255","1461",27,"MT","185/60 R15","2wd"
"30","Renault","Modus","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.9,140,"1235","1149",40,"MT","185/60 R15","2wd"
"31","Renault","Modus","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.5,119,"1290","1461",27,"MT","185/60 R15","2wd"
"32","Renault","Modus Exc","1.2L TCe 100 hp","D4FT","145/3000",101,"74/5500",5.9,140,"1235","1149",40,"MT","185/55 R16","2wd"
"33","Renault","Modus Exc","1.5L dCi 85 hp","K9KHP","200/1900",86,"63/3750",4.5,119,"1290","1461",27,"MT","185/55 R16","2wd"
"34","Renault","Modus Exc","1.6L 110 hp AT","K4M","151/4250",112,"82/6000",7.6,179,"1310","1598",2,"AT 4","185/55 R16","2wd"
"35","Renault","Modus","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.7,124,"1305","1461",17,"MT 6","185/60 R15","2wd"
